: | countries
Viên | Áo | Berlin | Đức
cậu bé | cô gái | anh_trai | em_gái
cậu bé | cô gái | anh_em | chị_em gái
cậu bé | cô gái | bố | mẹ
cậu bé | cô gái | cha | mẹ
cậu bé | cô gái | ông | bà
cậu bé | cô gái | chú_rể | cô_dâu
cậu bé | cô gái | vua | nữ_hoàng
cậu bé | cô gái | đàn_ông | đàn_bà
cậu bé | cô gái | hoàng_tử | công_chúa
cậu bé | cô gái | con_riêng | chị kế
cậu bé | cô gái | chú | cô
anh_trai | chị | anh_em | chị_em gái
anh_trai | chị | bố | mẹ
anh_trai | chị | cha | mẹ
anh_trai | chị | ông | bà
anh_trai | chị | chú_rể | cô_dâu
anh_trai | chị | vua | nữ_hoàng
anh_trai | chị | đàn_ông | đàn_bà
anh_trai | chị | hoàng_tử | công_chúa
anh_trai | chị | con_riêng | chị kế
anh_trai | chị | chú | cô
anh_em | chị_em | bố | mẹ
anh_em | chị_em | cha | mẹ
anh_em | chị_em | ông | bà
anh_em | chị_em | chú_rể | cô_dâu
anh_em | chị_em | vua | nữ_hoàng
anh_em | chị_em | đàn_ông | đàn_bà
anh_em | chị_em | hoàng_tử | công_chúa
anh_em | chị_em | con_riêng | chị kế
anh_em | chị_em | chú | cô
anh_em | chị_em | anh_trai | em_gái
bố | mẹ | cha | mẹ
bố | mẹ | ông | bà
bố | mẹ | chú_rể | cô_dâu
bố | mẹ | vua | nữ_hoàng
bố | mẹ | đàn_ông | đàn_bà
bố | mẹ | hoàng_tử | công_chúa
bố | mẹ | con_riêng | chị kế
bố | mẹ | chú | cô
bố | mẹ | anh_trai | em_gái
bố | mẹ | anh_em | chị_em gái
cha | mẹ | ông | bà
cha | mẹ | chú_rể | cô_dâu
cha | mẹ | vua | nữ_hoàng
cha | mẹ | đàn_ông | đàn_bà
cha | mẹ | hoàng_tử | công_chúa
cha | mẹ | con_riêng | chị kế
cha | mẹ | chú | cô
cha | mẹ | anh_trai | em_gái
cha | mẹ | anh_em | chị_em gái
cha | mẹ | bố | mẹ
ông nội | bà ngoại | ông | bà
ông nội | bà ngoại | chú_rể | cô_dâu
ông nội | bà ngoại | chồng | vợ
ông nội | bà ngoại | vua | nữ_hoàng
ông nội | bà ngoại | hoàng_tử | công_chúa
ông nội | bà ngoại | con_riêng | chị kế
ông nội | bà ngoại | chú | cô
ông nội | bà ngoại | anh_trai | em_gái
ông nội | bà ngoại | anh_em | chị_em gái
ông nội | bà ngoại | bố | mẹ
ông nội | bà ngoại | cha | mẹ
ông nội | bà | chú_rể | cô_dâu
ông nội | bà | vua | nữ_hoàng
ông nội | bà | hoàng_tử | công_chúa
ông nội | bà | con_riêng | chị kế
ông nội | bà | chú | cô
ông nội | bà | anh_trai | em_gái
ông nội | bà | anh_em | chị_em gái
ông nội | bà | bố | mẹ
ông nội | bà | cha | mẹ
cháu trai | cháu gái | chú_rể | cô_dâu
cháu trai | cháu gái | vua | nữ_hoàng
cháu trai | cháu gái | đàn_ông | đàn_bà
cháu trai | cháu gái | hoàng_tử | công_chúa
cháu trai | cháu gái | con_riêng | chị kế
cháu trai | cháu gái | chú | cô
cháu trai | cháu gái | anh_trai | em_gái
cháu trai | cháu gái | anh_em | chị_em gái
cháu trai | cháu gái | bố | mẹ
cháu trai | cháu gái | cha | mẹ
cháu trai | cháu gái | ông | bà
chú_rể | cô_dâu | vua | nữ_hoàng
